config,case,fit,syn,sem,sol,solMax
90-05-05,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.92,0.15,0.50,3,5
random,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,0.20,0.77,1,1
random,HumanoidLTL_531_Humanoid_unrealizable,nan,0.19,0.81,19,20
random,HumanoidLTL_741_Humanoid_unrealizable,nan,0.22,nan,11,12
random,HumanoidLTL_742_Humanoid_unrealizable,nan,0.19,nan,21,22
random,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
random,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
random,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,0.16,nan,4,5
SEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SEM,HumanoidLTL_531_Humanoid_unrealizable,0.50,0.10,0.50,0,1
SEM,HumanoidLTL_741_Humanoid_unrealizable,nan,0.11,nan,1,1
SEM,HumanoidLTL_742_Humanoid_unrealizable,nan,0.12,nan,2,3
SEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_531_Humanoid_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_741_Humanoid_unrealizable,0.06,0.11,nan,0,1
SYNSEM,HumanoidLTL_742_Humanoid_unrealizable,0.06,0.13,nan,1,2
SYNSEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SYN,HumanoidLTL_531_Humanoid_unrealizable,0.14,0.14,0.37,2,2
SYN,HumanoidLTL_741_Humanoid_unrealizable,0.11,0.11,nan,1,1
SYN,HumanoidLTL_742_Humanoid_unrealizable,0.16,0.16,nan,4,5
SYN,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.12,0.12,0.74,2,4
REALSEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.65,0.15,0.41,1,3
REALSEM,HumanoidLTL_531_Humanoid_unrealizable,0.95,0.18,0.90,23,31
REALSEM,HumanoidLTL_741_Humanoid_unrealizable,0.55,0.18,nan,5,8
REALSEM,HumanoidLTL_742_Humanoid_unrealizable,0.70,0.19,nan,80,118
REALSEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.47,0.10,0.50,2,4
REALSYN,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.76,0.20,0.54,534,565
REALSYN,HumanoidLTL_531_Humanoid_unrealizable,0.78,0.28,0.44,737,769
REALSYN,HumanoidLTL_741_Humanoid_unrealizable,0.77,0.22,nan,362,362
REALSYN,HumanoidLTL_742_Humanoid_unrealizable,0.76,0.19,nan,355,676
REALSYN,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSYN,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSYN,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.75,0.15,0.42,7,11
RREAL,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.85,0.16,0.45,6,6
RREAL,HumanoidLTL_531_Humanoid_unrealizable,0.99,0.19,0.91,38,58
RREAL,HumanoidLTL_741_Humanoid_unrealizable,0.98,0.22,nan,63,87
RREAL,HumanoidLTL_742_Humanoid_unrealizable,0.98,0.19,nan,90,100
RREAL,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
RREAL,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
RREAL,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.83,0.13,0.57,4,6
