config,case,fit,syn,sem,sol,solMax
70-15-15,HumanoidLTL_458,0.91,0.45,0.96,584,644
70-15-15,GyroUnrealizable_Var1,0.91,0.43,1.00,369,485
70-15-15,GyroUnrealizable_Var2,0.92,0.47,1.00,422,680
70-15-15,detector,0.92,0.67,0.82,519,564
70-15-15,full_arbiter,0.86,0.45,0.76,6,16
70-15-15,lily02,0.90,0.76,0.60,364,403
70-15-15,lily11,0.97,0.81,0.99,629,699
70-15-15,lily15,0.91,0.66,0.69,421,469
70-15-15,lily16,0.89,0.66,0.58,404,455
70-15-15,load_balancer,0.95,0.68,0.99,529,587
70-15-15,ltl2dba_R_2,0.93,0.59,0.91,620,655
70-15-15,ltl2dba_theta_2,0.93,0.69,0.88,630,660
70-15-15,ltl2dba27,0.92,0.55,0.93,579,634
70-15-15,prioritized_arbiter,0.85,0.64,0.44,12,31
70-15-15,round_robin,0.95,0.66,1.00,678,718
70-15-15,simple_arbiter,0.93,0.70,0.81,505,546
70-10-20,arbiter,0.94,0.79,0.77,482,521
70-10-20,minepump,0.96,0.61,0.98,504,569
70-10-20,RG1,0.94,0.58,0.89,403,451
70-10-20,RG2,0.93,0.69,0.79,508,553
70-10-20,Lift,0.95,0.54,1.00,345,396
70-10-20,HumanoidLTL_458,0.94,0.45,0.99,626,670
70-10-20,GyroUnrealizable_Var1,0.94,0.43,1.00,535,605
70-10-20,GyroUnrealizable_Var2,0.95,0.47,1.00,619,664
70-10-20,detector,0.94,0.66,0.86,507,578
70-10-20,full_arbiter,0.62,0.33,0.29,4,8
70-10-20,lily02,0.91,0.65,0.64,298,449
70-10-20,lily11,0.97,0.81,0.97,606,630
70-10-20,lily15,0.91,0.65,0.72,430,516
70-10-20,lily16,0.88,0.65,0.55,391,447
70-10-20,load_balancer,0.97,0.68,0.99,534,572
70-10-20,ltl2dba_R_2,0.95,0.53,1.00,609,652
70-10-20,ltl2dba_theta_2,0.95,0.68,0.89,635,704
70-10-20,ltl2dba27,0.94,0.53,0.95,580,611
70-10-20,prioritized_arbiter,0.82,0.61,0.37,14,23
70-10-20,round_robin,0.97,0.66,1.00,664,718
70-10-20,simple_arbiter,0.95,0.66,0.91,524,568
70-20-10,arbiter,0.95,0.90,0.66,448,532
70-20-10,minepump,0.93,0.70,0.79,467,497
70-20-10,RG1,0.91,0.73,0.67,320,399
70-20-10,RG2,0.93,0.82,0.62,406,509
70-20-10,Lift,0.91,0.54,1.00,194,349
70-20-10,HumanoidLTL_458,0.89,0.46,0.96,525,637
70-20-10,GyroUnrealizable_Var1,0.89,0.43,1.00,500,563
70-20-10,GyroUnrealizable_Var2,0.89,0.46,1.00,447,625
70-20-10,detector,0.92,0.68,0.81,497,567
70-20-10,full_arbiter,0.84,0.44,0.72,3,6
70-20-10,lily02,0.91,0.77,0.60,360,409
70-20-10,lily11,0.96,0.84,0.95,623,682
70-20-10,lily15,0.91,0.69,0.67,394,451
70-20-10,lily16,0.89,0.68,0.54,373,448
70-20-10,load_balancer,0.93,0.67,0.99,550,582
70-20-10,ltl2dba_R_2,0.92,0.66,0.86,623,670
70-20-10,ltl2dba_theta_2,0.93,0.74,0.81,617,674
70-20-10,ltl2dba27,0.91,0.61,0.87,568,608
70-20-10,prioritized_arbiter,0.87,0.64,0.41,13,27
70-20-10,round_robin,0.93,0.66,1.00,674,722
70-20-10,simple_arbiter,0.93,0.76,0.73,485,512
80-10-10,arbiter,0.95,0.86,0.67,427,490
80-10-10,minepump,0.96,0.64,0.95,442,537
80-10-10,RG1,0.95,0.60,0.92,355,402
80-10-10,RG2,0.95,0.74,0.71,432,458
80-10-10,Lift,0.95,0.54,1.00,214,267
80-10-10,HumanoidLTL_458,0.94,0.45,0.96,542,608
80-10-10,GyroUnrealizable_Var1,0.94,0.43,1.00,353,460
80-10-10,GyroUnrealizable_Var2,0.95,0.47,1.00,488,683
80-10-10,detector,0.95,0.65,0.83,512,573
80-10-10,full_arbiter,0.68,0.33,0.30,3,10
80-10-10,lily02,0.94,0.73,0.61,387,484
80-10-10,lily11,0.98,0.82,1.00,640,688
80-10-10,lily15,0.94,0.66,0.71,424,489
80-10-10,lily16,0.92,0.67,0.52,389,472
80-10-10,load_balancer,0.97,0.68,0.99,466,558
80-10-10,ltl2dba_R_2,0.96,0.59,0.96,620,670
80-10-10,ltl2dba_theta_2,0.96,0.70,0.86,660,735
80-10-10,ltl2dba27,0.95,0.56,0.97,562,631
80-10-10,prioritized_arbiter,0.78,0.56,0.28,9,22
80-10-10,round_robin,0.97,0.66,1.00,678,715
80-10-10,simple_arbiter,0.95,0.70,0.81,495,548
80-07-13,arbiter,0.95,0.78,0.73,406,459
80-07-13,minepump,0.97,0.61,0.97,420,552
80-07-13,RG1,0.94,0.59,0.81,304,401
80-07-13,RG2,0.95,0.64,0.78,402,516
80-07-13,Lift,0.97,0.54,1.00,201,302
80-07-13,HumanoidLTL_458,0.96,0.45,0.97,548,622
80-07-13,GyroUnrealizable_Var1,0.96,0.44,1.00,434,601
80-07-13,GyroUnrealizable_Var2,0.96,0.47,1.00,541,630
80-07-13,detector,0.96,0.64,0.86,522,565
80-07-13,full_arbiter,0.91,0.44,0.63,4,9
80-07-13,lily02,0.93,0.74,0.61,363,431
80-07-13,lily11,0.99,0.81,0.99,607,654
80-07-13,lily15,0.94,0.66,0.72,425,502
80-07-13,lily16,0.92,0.66,0.54,367,450
80-07-13,load_balancer,0.98,0.68,0.99,532,615
80-07-13,ltl2dba_R_2,0.97,0.55,0.99,618,662
80-07-13,ltl2dba_theta_2,0.96,0.69,0.88,654,693
80-07-13,ltl2dba27,0.96,0.52,0.95,582,633
80-07-13,prioritized_arbiter,0.89,0.64,0.34,10,20
80-07-13,round_robin,0.98,0.66,1.00,665,692
80-07-13,simple_arbiter,0.97,0.68,0.89,498,539
90-05-05,arbiter,0.98,0.86,0.68,467,531
90-05-05,minepump,0.98,0.62,0.95,481,559
90-05-05,RG1,0.98,0.62,0.88,380,436
90-05-05,RG2,0.98,0.77,0.74,459,540
90-05-05,Lift,0.98,0.54,1.00,303,345
90-05-05,HumanoidLTL_458,0.97,0.45,0.97,582,683
90-05-05,GyroUnrealizable_Var1,0.97,0.43,1.00,530,605
90-05-05,GyroUnrealizable_Var2,0.97,0.47,1.00,618,668
90-05-05,detector,0.97,0.66,0.76,498,579
90-05-05,full_arbiter,0.70,0.33,0.33,3,8
90-05-05,lily02,0.97,0.77,0.61,346,407
90-05-05,lily11,0.99,0.81,0.98,623,660
90-05-05,lily15,0.97,0.67,0.71,378,466
90-05-05,lily16,0.96,0.67,0.56,385,446
90-05-05,load_balancer,0.98,0.67,0.99,473,575
90-05-05,ltl2dba_R_2,0.98,0.60,0.96,621,708
90-05-05,ltl2dba_theta_2,0.98,0.70,0.87,649,694
90-05-05,ltl2dba27,0.97,0.54,0.95,524,676
90-05-05,prioritized_arbiter,0.86,0.56,0.27,11,28
90-05-05,round_robin,0.98,0.66,1.00,673,721
90-05-05,simple_arbiter,0.98,0.70,0.93,504,545
random,arbiter,0.87,0.80,0.48,6,9
random,minepump,0.96,0.64,0.99,21,27
random,RG1,0.93,0.74,0.78,5,9
random,RG2,0.88,0.69,0.57,21,26
random,Lift,0.95,0.53,1.00,1,3
random,HumanoidLTL_458,0.94,0.46,0.97,14,22
random,GyroUnrealizable_Var1,0.91,0.42,1.00,13,21
random,GyroUnrealizable_Var2,0.95,0.46,1.00,35,41
random,detector,0.92,0.68,0.78,21,26
random,full_arbiter,nan,0.46,0.52,6,6
random,lily02,0.86,0.70,0.53,4,6
random,lily11,0.96,0.79,0.89,35,39
random,lily15,0.85,0.66,0.51,4,4
random,lily16,0.86,0.65,0.50,6,6
random,load_balancer,0.97,0.67,1.00,29,34
random,ltl2dba_R_2,0.95,0.49,1.00,42,46
random,ltl2dba_theta_2,0.92,0.68,0.84,32,37
random,ltl2dba27,0.93,0.55,0.85,46,55
random,prioritized_arbiter,0.87,0.68,0.50,24,28
random,round_robin,0.97,0.65,1.00,76,84
random,simple_arbiter,0.87,0.71,0.53,17,21
REALSEM,arbiter,0.91,0.68,0.68,395,479
REALSEM,minepump,1.00,0.50,0.95,391,448
REALSEM,RG1,0.96,0.50,0.87,294,436
REALSEM,RG2,0.94,0.60,0.81,470,537
REALSEM,Lift,1.00,0.50,1.00,290,390
REALSEM,HumanoidLTL_458,0.99,0.45,0.97,560,629
REALSEM,GyroUnrealizable_Var1,1.00,0.35,1.00,365,597
REALSEM,GyroUnrealizable_Var2,1.00,0.38,1.00,429,598
REALSEM,detector,0.94,0.58,0.80,382,465
REALSEM,full_arbiter,0.59,0.30,0.25,3,6
REALSEM,lily02,0.90,0.53,0.64,236,387
REALSEM,lily11,0.99,0.72,0.96,587,663
REALSEM,lily15,0.92,0.64,0.71,354,479
REALSEM,lily16,0.87,0.62,0.55,294,422
REALSEM,load_balancer,1.00,0.55,0.99,510,588
REALSEM,ltl2dba_R_2,1.00,0.40,1.00,528,649
REALSEM,ltl2dba_theta_2,0.97,0.57,0.91,627,661
REALSEM,ltl2dba27,0.99,0.44,0.97,562,636
REALSEM,prioritized_arbiter,0.76,0.60,0.36,10,17
REALSEM,round_robin,1.00,0.51,1.00,695,730
REALSEM,simple_arbiter,0.96,0.57,0.85,527,565
REALSYN,arbiter,0.98,0.93,0.57,434,494
REALSYN,minepump,0.92,0.72,0.69,462,524
REALSYN,RG1,0.93,0.75,0.40,254,366
REALSYN,RG2,0.95,0.85,0.56,359,414
REALSYN,Lift,0.86,0.54,1.00,132,240
REALSYN,HumanoidLTL_458,0.84,0.48,0.50,538,578
REALSYN,GyroUnrealizable_Var1,0.83,0.43,1.00,396,522
REALSYN,GyroUnrealizable_Var2,0.84,0.47,1.00,482,615
REALSYN,detector,0.92,0.74,0.43,418,460
REALSYN,full_arbiter,0.84,0.47,0.30,374,430
REALSYN,lily02,0.93,0.78,0.54,306,359
REALSYN,lily11,0.96,0.85,0.85,445,608
REALSYN,lily15,0.92,0.73,0.42,253,402
REALSYN,lily16,0.91,0.70,0.37,196,344
REALSYN,load_balancer,0.90,0.68,0.98,384,523
